uID,Context,Prompt,Target
BNC-1875,Betty cooked lunch happily. Lydia even brought her some dandelion leaves.,Elizabeth would be expecting Bueno back,Beuno didn't suggest that Elizabeth would be expecting him back but ate his omelette as casually and thoughtlessly as the squirrel who had moved off to eat nuts in a different hazel tree.
BNC-1879,"The frustration of not being able to touch her. The pleasure he had when someone he had known at school passed along the towpath, looked up and saw him, Peter Redburn, having a drink with Kate Molland.",Peter and Kate should go inside,He also remembered the goose pimples that appeared on his arms as the evening grew cooler and how he didn't suggest they went inside because he was afraid she would say that it was time to go.
BNC-1880,"``Sidacai has not been condemned in order that we may be served, but to satisfy the Yasa,'' Artai responded, bridling.'' - And yet maybe his death should serve you,'' Burun said.",Artai was a fool,No one had ever suggested that Artai was a fool.
BNC-1881,"There was more in this vein as they turned right, and Mungo realized for the first time that they were actually heading into the forest.",Mungo should enter the forest,Up to now he had been constantly aware of its dark presence encircling the village but nobody had ever suggested that he should enter it.
BNC-1885,"On the wall was a framed Miro. What kind of boy, Pumfrey marvelled, would choose a picture like that to decorate his room?",the exercise books the scrapbook and the diary were going to be fruitful,When he left he took a pile of exercise books a scrapbook and a diary but a first glance at their contents did not suggest that they were going to be fruitful.
BNC-1889,"His voice was marked by flat northern vowels and was so soft Dexter felt the muscles in his cheeks tense as he strained to hear. ``OK, Jim,'' replied Blanche with a smile.",Lancaster should address Blanche by her Christian name in return,Dexter noticed his boss did not suggest Lancaster address her by her Christian name in return.
BNC-19,"Wiping away Cynthia's tears, she urged her to be on her way and perform this last task before it was too late. ``I'm dreadfully sorry, Harry, I really am.''",marrying Madeleine would make Harry happy,Alice's voice held genuine regret for although she had never thought Madeleine the right girl for Harry she would have done anything possible to forward a marriage between them if she truly believed it would make him happy.
BNC-190,Erlich was breaking the rules. A Fed on assignment overseas with the ranking of Assistant Legal Attache must always work through local law-enforcement agencies.,Erlich was out on his own,Back at F.B.I.H.Q. where the book ran the show they would have been climbing the walls in the Office of Liaison and International Affairs if they had known that he was out on his own.
BNC-1916,"He had thought that children were supposed to be sharp and un-sentimental and though Emmie had not written in a sentimental way exactly, she had written about her family as if they were perfect. It had puzzled him and made him very slightly jealous.",Emmie's writing was publishable,He had never supposed that it was publishable or that Emmie cherished ambitions of that kind.
BNC-1918,"``Of course, we can have a look, but I doubt we 'll find anything. In any case, it's not vital.''",the coroner will make any problems about what happened,I don't suppose the coroner will make any problems about what happened.
BNC-1935,"Celia, already suffering from disturbed sleep, would wake screaming and Edna, to pacify her, took the child into her own bed. Liza, in the next room, having hardly slept at all since her disastrous meeting with Freddie Nash, lay awake, now resolved that there was only one thing left for her to do.",Liza might once again be pregnant,Even if she did not suspect that she might once again be pregnant she knew after all that had taken place she had no other option.
BNC-1937,``Let's see Leeming first.'' Duncan understood Myeloski's caution.,the professionals' plot had been uncovered,If the policeman was right if it was a deadly game played by professionals with the resources of the KGB behind them it was important that they didn't suspect their plot had been uncovered.
